ticker,companyShortName,startDateTime,startDateTimeType,surprisePercent,rank
SNDL,Sundial Growers Inc.,2020-03-29 17:00:00,TNS,-635.14,711780
BB,BlackBerry Limited,2020-03-30 17:00:00,TNS,119.51,368482
T,AT&T Inc.,2020-04-21 17:00:00,TNS,-0.94,304104
BNTX,BioNTech SE,2020-03-30 17:00:00,TNS,-51.16,293027
INTC,Intel Corporation,2020-04-22 17:00:00,TNS,13.46,280927
DAL,"Delta Air Lines, Inc.",2020-04-21 17:00:00,TNS,26.72,203740
APHA,Aphria Inc.,2020-04-13 17:00:00,TNS,148.78,196177
BAC,Bank of America Corporation,2020-04-14 17:00:00,TNS,-13.23,193873
WFC,Wells Fargo & Company,2020-04-13 17:00:00,TNS,-96.94,184509
BLNK,Blink Charging Co.,2020-04-01 17:00:00,TNS,-22.22,172359
CYDY,CytoDyn Inc.,2020-04-08 17:00:00,TNS,-166.67,165334
NFLX,"Netflix, Inc.",2020-04-20 17:00:00,TNS,-4.96,164222
HEXO,HEXO Corp.,2020-03-29 17:00:00,TNS,-1184.09,164133
SNAP,Snap Inc.,2020-04-20 17:00:00,TNS,-6.67,150685
WBA,"Walgreens Boots Alliance, Inc.",2020-04-01 17:00:00,TNS,4.25,144430
VZ,Verizon Communications Inc.,2020-04-23 17:00:00,TNS,3.03,143517
JNJ,Johnson & Johnson,2020-04-13 17:00:00,TNS,15.29,137238
C,Citigroup Inc.,2020-04-14 17:00:00,TNS,0.57,127198
JPM,JPMorgan Chase & Co.,2020-04-13 17:00:00,TNS,-57.65,118182
IBM,International Business Machines Corporation,2020-04-19 17:00:00,TNS,2.51,113235
EARS,Auris Medical Holding Ltd.,2020-04-15 17:00:00,TNS,,107068
GME,GameStop Corp.,2020-03-25 17:00:00,TNS,61.37,107022
TSM,Taiwan Semiconductor Manufacturing Company Limited,2020-04-15 17:00:00,TNS,2.32,101641
KO,The Coca-Cola Company,2020-04-20 17:00:00,TNS,14.86,100728
FCX,Freeport-McMoRan Inc.,2020-04-23 17:00:00,TNS,12.09,97602
RAD,Rite Aid Corporation,2020-04-15 17:00:00,TNS,-150.0,97330
GNUS,"Genius Brands International, Inc.",2020-03-29 17:00:00,TNS,,85270
PG,The Procter & Gamble Company,2020-04-16 17:00:00,TNS,3.36,84468
CRON,Cronos Group Inc.,2020-03-29 17:00:00,TNS,622.58,79338
COCP,"Cocrystal Pharma, Inc.",2020-03-26 17:00:00,TNS,28.57,77068
GRWG,GrowGeneration Corp.,2020-03-26 17:00:00,TNS,-138.46,75762
NEE,"NextEra Energy, Inc.",2020-04-21 17:00:00,TNS,5.31,75318
NAK,Northern Dynasty Minerals Ltd.,2020-03-29 17:00:00,TNS,-300.0,75121
PEIX,"Pacific Ethanol, Inc.",2020-03-25 17:00:00,TNS,7.41,72874
LMT,Lockheed Martin Corporation,2020-04-20 17:00:00,TNS,4.83,71970
CHWY,"Chewy, Inc.",2020-04-01 17:00:00,TNS,11.76,71436
CODX,"Co-Diagnostics, Inc.",2020-03-29 17:00:00,TNS,0.0,70103
KMI,"Kinder Morgan, Inc.",2020-04-21 17:00:00,TNS,-12.09,67225
JAGX,"Jaguar Health, Inc.",2020-04-02 17:00:00,TNS,,66814
MGM,MGM Resorts International,2020-04-22 17:00:00,TNS,563.28,65226
NEXCF,NexTech AR Solutions Corp.,2020-03-25 17:00:00,TNS,,64238
HTBX,"Heat Biologics, Inc.",2020-03-29 17:00:00,TNS,30.07,63855
OGI,OrganiGram Holdings Inc.,2020-04-13 17:00:00,TNS,-64.0,61641
ALT,"Altimmune, Inc.",2020-03-26 17:00:00,TNS,3.85,58001
BIIB,Biogen Inc.,2020-04-21 17:00:00,TNS,18.19,57936
SUNW,"Sunworks, Inc.",2020-03-29 17:00:00,TNS,-1866.67,56116
TMO,Thermo Fisher Scientific Inc.,2020-04-21 17:00:00,TNS,5.19,54638
SLB,Schlumberger Limited,2020-04-16 17:00:00,TNS,2.46,54226
TCNNF,Trulieve Cannabis Corp.,2020-04-07 17:00:00,TNS,230.1,53638
SAVA,"Cassava Sciences, Inc.",2020-03-25 17:00:00,TNS,38.46,53352
FUV,"Arcimoto, Inc.",2020-04-13 17:00:00,TNS,-2.56,53330
GS,"The Goldman Sachs Group, Inc.",2020-04-14 17:00:00,TNS,-7.27,53136
PLNHF,Planet 13 Holdings Inc.,2020-04-13 17:00:00,TNS,,52716
HAL,Halliburton Company,2020-04-19 17:00:00,TNS,27.57,51956
LRCX,Lam Research Corporation,2020-04-21 17:00:00,TNS,0.0,51682
LULU,Lululemon Athletica Inc.,2020-03-25 17:00:00,TNS,1.83,51488
UNH,UnitedHealth Group Incorporated,2020-04-14 17:00:00,TNS,2.59,50920
AA,Alcoa Corporation,2020-04-21 17:00:00,TNS,6.12,49948
MMEDF,Mind Medicine (MindMed) Inc.,2020-03-29 17:00:00,TNS,,49507
ABT,Abbott Laboratories,2020-04-15 17:00:00,TNS,11.68,47945
AXP,American Express Company,2020-04-23 17:00:00,TNS,-71.25,47539
LLNW,"Limelight Networks, Inc.",2020-04-22 17:00:00,TNS,100.0,46519
CSIQ,Canadian Solar Inc.,2020-03-25 17:00:00,TNS,151.12,44654
PM,Philip Morris International Inc.,2020-04-20 17:00:00,TNS,7.08,44645
MS,Morgan Stanley,2020-04-15 17:00:00,TNS,-11.25,44445
LLY,Eli Lilly and Company,2020-04-22 17:00:00,TNS,18.24,44249
LVS,Las Vegas Sands Corp.,2020-04-21 17:00:00,TNS,-140.0,44136
VFF,"Village Farms International, Inc.",2020-03-29 17:00:00,TNS,-4766.67,43890
CMG,"Chipotle Mexican Grill, Inc.",2020-04-20 17:00:00,TNS,5.84,43479
KSHB,"KushCo Holdings, Inc.",2020-04-08 17:00:00,TNS,-159.74,42722
NXTD,"Nxt-ID, Inc.",2020-03-29 17:00:00,TNS,,42398
TTNP,"Titan Pharmaceuticals, Inc.",2020-03-29 17:00:00,TNS,0.0,42370
PVH,PVH Corp.,2020-03-31 17:00:00,TNS,3.98,42333
OCGN,"Ocugen, Inc.",2020-03-26 17:00:00,TNS,3050.0,42082
SQNS,Sequans Communications S.A.,2020-04-22 17:00:00,TNS,4.0,42033
BEEM,Beam Global,2020-03-29 17:00:00,TNS,-180.0,41167
